Source,Target,Source_Party,Target_Party,Source_Reselection,Target_Reselection,Source_District_Type,Target_District_Type,Source_Gender,Target_Gender,Source_Role,Target_Role
김민기,박완주,더불어민주당,더불어민주당,재선,재선,지역구,지역구,남,남,Co-Sponsor,Representative
김영호,박완주,더불어민주당,더불어민주당,초선,재선,지역구,지역구,남,남,Co-Sponsor,Representative
김정우,박완주,더불어민주당,더불어민주당,초선,재선,지역구,지역구,남,남,Co-Sponsor,Representative
노웅래,박완주,더불어민주당,더불어민주당,3선,재선,지역구,지역구,남,남,Co-Sponsor,Representative
민홍철,박완주,더불어민주당,더불어민주당,재선,재선,지역구,지역구,남,남,Co-Sponsor,Representative
박완주,박정,더불어민주당,더불어민주당,재선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
박완주,윤관석,더불어민주당,더불어민주당,재선,재선,지역구,지역구,남,남,Representative,Co-Sponsor
박완주,이철희,더불어민주당,더불어민주당,재선,초선,지역구,비례대표,남,남,Representative,Co-Sponsor
박완주,전혜숙,더불어민주당,더불어민주당,재선,재선,지역구,지역구,남,여,Representative,Co-Sponsor
강석진,김승희,자유한국당,자유한국당,초선,초선,지역구,비례대표,남,여,Co-Sponsor,Representative
김명연,김승희,자유한국당,자유한국당,재선,초선,지역구,비례대표,남,여,Co-Sponsor,Representative
김상훈,김승희,자유한국당,자유한국당,재선,초선,지역구,비례대표,남,여,Co-Sponsor,Representative
김석기,김승희,자유한국당,자유한국당,초선,초선,지역구,비례대표,남,여,Co-Sponsor,Representative
김승희,박맹우,자유한국당,자유한국당,초선,재선,비례대표,지역구,여,남,Representative,Co-Sponsor
김승희,윤영석,자유한국당,자유한국당,초선,재선,비례대표,지역구,여,남,Representative,Co-Sponsor
김승희,윤재옥,자유한국당,자유한국당,초선,재선,비례대표,지역구,여,남,Representative,Co-Sponsor
김승희,이종명,자유한국당,자유한국당,초선,초선,비례대표,비례대표,여,남,Representative,Co-Sponsor
김승희,추경호,자유한국당,자유한국당,초선,초선,비례대표,지역구,여,남,Representative,Co-Sponsor
김승희,한선교,자유한국당,자유한국당,초선,4선,비례대표,지역구,여,남,Representative,Co-Sponsor
기동민,인재근,더불어민주당,더불어민주당,초선,재선,지역구,지역구,남,여,Co-Sponsor,Representative
김상희,인재근,더불어민주당,더불어민주당,3선,재선,지역구,지역구,여,여,Co-Sponsor,Representative
김영진,인재근,더불어민주당,더불어민주당,초선,재선,지역구,지역구,남,여,Co-Sponsor,Representative
남인순,인재근,더불어민주당,더불어민주당,재선,재선,지역구,지역구,여,여,Co-Sponsor,Representative
박정,인재근,더불어민주당,더불어민주당,초선,재선,지역구,지역구,남,여,Co-Sponsor,Representative
소병훈,인재근,더불어민주당,더불어민주당,초선,재선,지역구,지역구,남,여,Co-Sponsor,Representative
